1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000
1.00000 1.01980 1.02836 1.03908 1.05011 1.05925 1.06580 1.07036 1.07360 1.07574 1.07681 1.07691 1.07618 1.07449 1.07151 1.06691 1.06078 1.05332 1.04443 1.03412 1.02291 1.01214 1.00368 0.99836 0.99556 0.99413 0.99323 0.99248 0.99172 0.99089 0.98997 0.98898 0.98797 1.00000
1.00000 1.02910 1.05003 1.07524 1.09890 1.11588 1.12574 1.13058 1.13199 1.13089 1.12850 1.12614 1.12451 1.12335 1.12165 1.11832 1.11259 1.10438 1.09387 1.07996 1.06077 1.03812 1.01806 1.00500 0.99856 0.99591 0.99476 0.99398 0.99320 0.99229 0.99120 0.98993 0.98854 1.00000
1.00000 1.04044 1.07606 1.11640 1.14932 1.16671 1.16991 1.16376 1.15235 1.13972 1.12979 1.12485 1.12489 1.12806 1.13178 1.13411 1.13416 1.13131 1.12543 1.11541 1.09701 1.06867 1.03791 1.01493 1.00283 0.99804 0.99631 0.99541 0.99457 0.99355 0.99227 0.99074 0.98898 1.00000
1.00000 1.04822 1.09184 1.13725 1.16928 1.17965 1.17103 1.15071 1.12709 1.10849 1.10021 1.10277 1.11257 1.12441 1.13379 1.13866 1.13985 1.13906 1.13735 1.13381 1.12183 1.09472 1.05818 1.02670 1.00836 1.00067 0.99794 0.99675 0.99578 0.99463 0.99317 0.99139 0.98933 1.00000
1.00000 1.04833 1.08866 1.12819 1.15446 1.15908 1.14291 1.11551 1.09108 1.08077 1.08758 1.10690 1.13034 1.15013 1.16175 1.16414 1.15935 1.15170 1.14576 1.14313 1.13628 1.11306 1.07488 1.03790 1.01438 1.00371 0.99970 0.99800 0.99680 0.99550 0.99388 0.99189 0.98960 1.00000
1.00000 1.04591 1.08007 1.11133 1.13048 1.12958 1.10927 1.08317 1.06910 1.07557 1.09925 1.13061 1.16003 1.18123 1.19200 1.19248 1.18388 1.16993 1.15747 1.15148 1.14555 1.12460 1.08630 1.04656 1.01981 1.00682 1.00152 0.99916 0.99764 0.99616 0.99440 0.99226 0.98978 1.00000
1.00000 1.04653 1.07831 1.10388 1.11504 1.10617 1.08284 1.06325 1.06212 1.08055 1.11088 1.14393 1.17230 1.19168 1.20141 1.20249 1.19509 1.18090 1.16654 1.15863 1.15180 1.13063 1.09201 1.05151 1.02367 1.00951 1.00320 1.00018 0.99830 0.99663 0.99474 0.99249 0.98990 1.00000
1.00000 1.05090 1.08365 1.10423 1.10549 1.08784 1.06419 1.05218 1.05914 1.08170 1.11266 1.14479 1.17175 1.18957 1.19818 1.19946 1.19410 1.18304 1.17140 1.16424 1.15532 1.13126 1.09164 1.05212 1.02537 1.01128 1.00445 1.00092 0.99874 0.99692 0.99495 0.99262 0.98997 1.00000
1.00000 1.05587 1.08938 1.10401 1.09577 1.07251 1.05112 1.04465 1.05485 1.07714 1.10589 1.13589 1.16195 1.18021 1.18992 1.19264 1.18989 1.18294 1.17498 1.16752 1.15367 1.12478 1.08489 1.04865 1.02488 1.01187 1.00501 1.00127 0.99894 0.99704 0.99503 0.99267 0.98999 1.00000
