0 -127 0
5 -125 25
10 -125 24
15 -125 21
19 -125 17
22 -125 13
25 -125 8
26 -125 2
26 -125 -3
25 -125 -9
22 -125 -14
19 -125 -18
15 -125 -22
10 -125 -25
5 -125 -26
0 -125 -27
-6 -125 -26
-11 -125 -25
-16 -125 -22
-20 -125 -18
-23 -125 -14
-26 -125 -9
-27 -125 -3
-27 -125 2
-26 -125 8
-23 -125 13
-20 -125 17
-16 -125 21
-11 -125 24
-6 -125 25
-1 -125 26
10 -117 50
21 -117 47
30 -117 41
38 -117 34
44 -117 25
49 -117 15
51 -117 5
51 -117 -6
49 -117 -16
44 -117 -26
38 -117 -35
30 -117 -42
21 -117 -48
10 -117 -51
0 -117 -52
-11 -117 -51
-22 -117 -48
-31 -117 -42
-39 -117 -35
-45 -117 -26
-50 -117 -16
-52 -117 -6
-52 -117 5
-50 -117 15
-45 -117 25
-39 -117 34
-31 -117 41
-22 -117 47
-11 -117 50
-1 -117 51
15 -103 73
30 -103 68
43 -103 60
55 -103 49
64 -103 37
70 -103 23
74 -103 7
74 -103 -8
70 -103 -24
64 -103 -38
55 -103 -50
43 -103 -61
30 -103 -69
15 -103 -74
0 -103 -75
-16 -103 -74
-31 -103 -69
-44 -103 -61
-56 -103 -50
-65 -103 -38
-71 -103 -24
-75 -103 -8
-75 -103 7
-71 -103 23
-65 -103 37
-56 -103 49
-44 -103 60
-31 -103 68
-16 -103 73
-1 -103 74
19 -85 92
38 -85 86
55 -85 76
70 -85 63
81 -85 47
89 -85 29
93 -85 9
93 -85 -10
89 -85 -30
81 -85 -48
70 -85 -64
55 -85 -77
38 -85 -87
19 -85 -93
0 -85 -95
-20 -85 -93
-39 -85 -87
-56 -85 -77
-71 -85 -64
-82 -85 -48
-90 -85 -30
-94 -85 -10
-94 -85 9
-90 -85 29
-82 -85 47
-71 -85 63
-56 -85 76
-39 -85 86
-20 -85 92
-1 -85 94
22 -64 107
44 -64 100
64 -64 88
81 -64 73
95 -64 54
104 -64 33
109 -64 11
109 -64 -12
104 -64 -34
95 -64 -55
81 -64 -74
64 -64 -89
44 -64 -101
22 -64 -108
0 -64 -110
-23 -64 -108
-45 -64 -101
-65 -64 -89
-82 -64 -74
-96 -64 -55
-105 -64 -34
-110 -64 -12
-110 -64 11
-105 -64 33
-96 -64 54
-82 -64 73
-65 -64 88
-45 -64 100
-23 -64 107
-1 -64 109
25 -40 118
49 -40 110
70 -40 97
89 -40 80
104 -40 60
114 -40 37
120 -40 12
120 -40 -13
114 -40 -38
104 -40 -61
89 -40 -81
70 -40 -98
49 -40 -111
25 -40 -119
0 -40 -121
-26 -40 -119
-50 -40 -111
-71 -40 -98
-90 -40 -81
-105 -40 -61
-115 -40 -38
-121 -40 -13
-121 -40 12
-115 -40 37
-105 -40 60
-90 -40 80
-71 -40 97
-50 -40 110
-26 -40 118
-1 -40 120
26 -14 123
51 -14 115
74 -14 102
93 -14 84
109 -14 63
120 -14 39
125 -14 13
125 -14 -14
120 -14 -40
109 -14 -64
93 -14 -85
74 -14 -103
51 -14 -116
26 -14 -124
0 -14 -127
-27 -14 -124
-52 -14 -116
-75 -14 -103
-94 -14 -85
-110 -14 -64
-121 -14 -40
-126 -14 -14
-126 -14 13
-121 -14 39
-110 -14 63
-94 -14 84
-75 -14 102
-52 -14 115
-27 -14 123
-1 -14 126
26 13 123
51 13 115
74 13 102
93 13 84
109 13 63
120 13 39
125 13 13
125 13 -14
120 13 -40
109 13 -64
93 13 -85
74 13 -103
51 13 -116
26 13 -124
0 13 -127
-27 13 -124
-52 13 -116
-75 13 -103
-94 13 -85
-110 13 -64
-121 13 -40
-126 13 -14
-126 13 13
-121 13 39
-110 13 63
-94 13 84
-75 13 102
-52 13 115
-27 13 123
-1 13 126
25 39 118
49 39 110
70 39 97
89 39 80
104 39 60
114 39 37
120 39 12
120 39 -13
114 39 -38
104 39 -61
89 39 -81
70 39 -98
49 39 -111
25 39 -119
0 39 -121
-26 39 -119
-50 39 -111
-71 39 -98
-90 39 -81
-105 39 -61
-115 39 -38
-121 39 -13
-121 39 12
-115 39 37
-105 39 60
-90 39 80
-71 39 97
-50 39 110
-26 39 118
-1 39 120
22 63 107
44 63 100
64 63 88
81 63 73
95 63 54
104 63 33
109 63 11
109 63 -12
104 63 -34
95 63 -55
81 63 -74
64 63 -89
44 63 -101
22 63 -108
0 63 -110
-23 63 -108
-45 63 -101
-65 63 -89
-82 63 -74
-96 63 -55
-105 63 -34
-110 63 -12
-110 63 11
-105 63 33
-96 63 54
-82 63 73
-65 63 88
-45 63 100
-23 63 107
-1 63 109
19 84 92
38 84 86
55 84 76
70 84 63
81 84 47
89 84 29
93 84 9
93 84 -10
89 84 -30
81 84 -48
70 84 -64
55 84 -77
38 84 -87
19 84 -93
0 84 -95
-20 84 -93
