0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
-0.00012 -0.01734 -0.02488 -0.02895 -0.03207 -0.03521 -0.03864 -0.04240 -0.04631 -0.05005 -0.05317 -0.05507 -0.05506 -0.05243 -0.04661 -0.03730 -0.02467 -0.00947 0.00705 0.02331 0.03771 0.04903 0.05661 0.06047 0.06115 0.05956 0.05672 0.05362 0.05108 0.04936 0.04607 0.03263
-0.00032 -0.04203 -0.05863 -0.06762 -0.07510 -0.08308 -0.09214 -0.10220 -0.11286 -0.12339 -0.13273 -0.13947 -0.14195 -0.13839 -0.12721 -0.10739 -0.07893 -0.04316 -0.00269 0.03887 0.07771 0.11057 0.13533 0.15131 0.15917 0.16054 0.15756 0.15243 0.14701 0.14143 0.12961 0.09147
-0.00054 -0.07022 -0.09526 -0.10843 -0.12000 -0.13302 -0.14822 -0.16545 -0.18406 -0.20293 -0.22038 -0.23415 -0.24145 -0.23914 -0.22422 -0.19450 -0.14943 -0.09072 -0.02259 0.04895 0.11724 0.17645 0.22268 0.25436 0.27214 0.27837 0.27631 0.26946 0.26068 0.24999 0.22756 0.16101
-0.00076 -0.09736 -0.13031 -0.14730 -0.16283 -0.18100 -0.20275 -0.22789 -0.25564 -0.28458 -0.31249 -0.33620 -0.35158 -0.35371 -0.33750 -0.29878 -0.23575 -0.15040 -0.04899 0.05885 0.16237 0.25228 0.32249 0.37065 0.39778 0.40742 0.40441 0.39385 0.37980 0.36237 0.32804 0.23197
-0.00097 -0.12137 -0.16146 -0.18211 -0.20161 -0.22511 -0.25384 -0.28774 -0.32608 -0.36731 -0.40884 -0.44666 -0.47506 -0.48676 -0.47348 -0.42759 -0.34468 -0.22651 -0.08245 0.07205 0.21979 0.34639 0.44310 0.50712 0.54072 0.54963 0.54121 0.52283 0.50017 0.47353 0.42580 0.29986
-0.00114 -0.14111 -0.18719 -0.21123 -0.23466 -0.26359 -0.29966 -0.34314 -0.39360 -0.44974 -0.50891 -0.56651 -0.61525 -0.64474 -0.64186 -0.59284 -0.48776 -0.32712 -0.12554 0.09171 0.29709 0.46884 0.59499 0.67301 0.70779 0.70901 0.68812 0.65576 0.61972 0.58054 0.51739 0.36149
-0.00128 -0.15569 -0.20626 -0.23319 -0.26031 -0.29452 -0.33797 -0.39153 -0.45543 -0.52912 -0.61057 -0.69522 -0.77459 -0.83463 -0.85478 -0.80989 -0.67914 -0.46090 -0.18009 0.12175 0.40236 0.63033 0.78967 0.87854 0.90636 0.88955 0.84608 0.79139 0.73585 0.68002 0.59902 0.41356
-0.00137 -0.16433 -0.21754 -0.24661 -0.27684 -0.31576 -0.36611 -0.42956 -0.50749 -0.60076 -0.70900 -0.82910 -0.95257 -1.06132 -1.12257 -1.08979 -0.92391 -0.62591 -0.24222 0.16356 0.53511 0.83209 1.03191 1.12996 1.14099 1.09264 1.01353 0.92614 0.84396 0.76704 0.66586 0.45223
-0.00141 -0.16632 -0.22009 -0.25028 -0.28266 -0.32513 -0.38106 -0.45312 -0.54420 -0.65741 -0.79545 -0.95879 -1.14103 -1.31858 -1.43575 -1.40953 -1.18440 -0.78592 -0.29684 0.20384 0.66187 1.03713 1.29540 1.41455 1.40528 1.31131 1.18182 1.05120 0.93600 0.83441 0.71166 0.47318
-0.00138 -0.16119 -0.21326 -0.24330 -0.27643 -0.32063 -0.37980 -0.45765 -0.55877 -0.68914 -0.85588 -1.06524 -1.31384 -1.56514 -1.72181 -1.66037 -1.34396 -0.86068 -0.32615 0.19933 0.69745 1.14376 1.48502 1.65997 1.65459 1.52167 1.33656 1.15447 1.00077 0.87258 0.72901 0.47212
-0.00129 -0.14876 -0.19679 -0.22521 -0.25733 -0.30080 -0.35982 -0.43887 -0.54405 -0.68402 -0.87040 -1.11460 -1.41027 -1.69093 -1.81038 -1.64941 -1.25693 -0.79327 -0.35352 0.07982 0.55114 1.05122 1.49246 1.75504 1.78802 1.64446 1.42224 1.20120 1.01799 0.86902 0.70990 0.44561
-0.00113 -0.12924 -0.17096 -0.19619 -0.22529 -0.26510 -0.31976 -0.39394 -0.49432 -0.63069 -0.81596 -1.05902 -1.33506 -1.54080 -1.53113 -1.28373 -0.95742 -0.69536 -0.46595 -0.16355 0.25702 0.77387 1.28527 1.62764 1.71513 1.59773 1.38212 1.15718 0.96594 0.80958 0.64655 0.39206
