0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
-0.00007 -0.06345 -0.07056 -0.05484 -0.02891 -0.00878 -0.00893 -0.03426 -0.07838 -0.12667 -0.16178 -0.16957 -0.14212 -0.07970 0.00603 0.09241 0.15397 0.17683 0.16577 0.13640 0.10411 0.07722 0.05680 0.04111 0.02818 0.01680 0.00699 -0.00045 -0.00471 -0.00519 -0.00166 0.00383
0.00002 -0.08801 -0.09574 -0.06891 -0.02968 -0.01133 -0.04357 -0.13213 -0.25435 -0.37275 -0.45184 -0.46715 -0.40662 -0.27112 -0.08019 0.12715 0.30221 0.40782 0.43971 0.41831 0.36436 0.29359 0.22070 0.15553 0.10037 0.05436 0.01770 -0.00855 -0.02382 -0.02797 -0.02126 -0.00723
0.00022 -0.01668 -0.01671 -0.00472 -0.00184 -0.04658 -0.16466 -0.34422 -0.54141 -0.70725 -0.80432 -0.80731 -0.70238 -0.49003 -0.19352 0.13771 0.43605 0.63798 0.72386 0.72367 0.67060 0.57760 0.45706 0.32938 0.21157 0.11249 0.03615 -0.01658 -0.04729 -0.05797 -0.04979 -0.02601
0.00040 0.09959 0.09444 0.05609 -0.01840 -0.15647 -0.36630 -0.61513 -0.84973 -1.02805 -1.12270 -1.10950 -0.96827 -0.69481 -0.31125 0.13097 0.55310 0.86382 1.01366 1.03270 0.97736 0.86938 0.71274 0.52707 0.34241 0.18294 0.06113 -0.02135 -0.06936 -0.08832 -0.08050 -0.04762
0.00062 0.16232 0.14555 0.06309 -0.07466 -0.28314 -0.54884 -0.82266 -1.05845 -1.23447 -1.33359 -1.32444 -1.17331 -0.86980 -0.43520 0.08293 0.60618 1.02424 1.25358 1.30745 1.25566 1.13514 0.94857 0.71312 0.46807 0.25222 0.08767 -0.02251 -0.08671 -0.11412 -0.10817 -0.06821
0.00085 0.15637 0.13180 0.03225 -0.13271 -0.36912 -0.64450 -0.90727 -1.13339 -1.32011 -1.44584 -1.45969 -1.31415 -0.99958 -0.54237 0.01342 0.59694 1.09279 1.39520 1.49675 1.46457 1.34172 1.13303 0.85798 0.56522 0.30568 0.10878 -0.02197 -0.09834 -0.13286 -0.12970 -0.08539
0.00098 0.12650 0.09879 -0.00181 -0.17194 -0.40545 -0.65923 -0.89693 -1.11858 -1.32536 -1.48025 -1.51626 -1.38064 -1.06737 -0.60782 -0.04551 0.55495 1.08355 1.43151 1.57890 1.57830 1.46410 1.24171 0.93897 0.61581 0.33154 0.11821 -0.02228 -0.10474 -0.14387 -0.14379 -0.09790
0.00095 0.10999 0.07621 -0.02885 -0.19697 -0.40757 -0.62140 -0.82573 -1.03579 -1.25020 -1.42308 -1.48134 -1.36843 -1.07521 -0.63346 -0.09004 0.49144 1.01219 1.37628 1.55948 1.59155 1.48869 1.25856 0.94261 0.61084 0.32453 0.11306 -0.02505 -0.10682 -0.14757 -0.15033 -0.10527
0.00083 0.10900 0.06345 -0.05029 -0.20719 -0.37960 -0.54407 -0.70894 -0.89694 -1.10435 -1.28319 -1.36149 -1.28086 -1.02514 -0.62230 -0.12212 0.41246 0.89753 1.25563 1.45856 1.51046 1.41235 1.18035 0.86960 0.55335 0.28758 0.09501 -0.02992 -0.10511 -0.14476 -0.14982 -0.10748
